Date,Open,High,Low,Close
24-Jan-11,19095.69,19194.46,18998.38,19151.28
25-Jan-11,19227.42,19340.99,18949.44,18969.45
27-Jan-11,19086.69,19086.69,18656.05,18684.43
28-Jan-11,18708.62,18723.12,18235.45,18395.97
31-Jan-11,18226.21,18395.09,18038.48,18327.76
01-Feb-11,18425.18,18452.06,17982.17,18022.22
02-Feb-11,18216.91,18306,18042.61,18090.62
03-Feb-11,18113.73,18466.21,18064.61,18449.31
04-Feb-11,18450.07,18542.2,17926.98,18008.15
07-Feb-11,18135.02,18180.94,17977.01,18037.19
08-Feb-11,18141.51,18141.51,17742.18,17775.7
09-Feb-11,17723.99,17864.32,17508.35,17592.77
10-Feb-11,17603.29,17636.88,17362.59,17463.04
11-Feb-11,17519.13,17752.56,17295.62,17728.61
14-Feb-11,17940.16,18227.62,17857.12,18202.2
15-Feb-11,18260.08,18361.66,18050.48,18273.8
16-Feb-11,18273.06,18358.84,18216.12,18300.9
17-Feb-11,18345.12,18532.61,18233.79,18506.82
18-Feb-11,18564.08,18690.97,18159.82,18211.52
21-Feb-11,18238.54,18457.49,18082.66,18438.31
22-Feb-11,18390.72,18457.9,18187.33,18296.16
23-Feb-11,18233.77,18377.48,18150.01,18178.33
24-Feb-11,18135.12,18135.12,17559.7,17632.41
25-Feb-11,17775.08,17812.44,17469.97,17700.91
28-Feb-11,17811.08,18296.53,17718.88,17823.4
01-Mar-11,17982.28,18478.68,17964.39,18446.5
03-Mar-11,18318.32,18603.57,18253.62,18489.76
04-Mar-11,18622.7,18736.97,18448.69,18486.45
07-Mar-11,18361.65,18361.65,18058.71,18222.67
08-Mar-11,18277.34,18466.81,18266.62,18439.65
09-Mar-11,18522.8,18583.3,18303.8,18469.95
10-Mar-11,18430.84,18430.84,18261.26,18327.98
11-Mar-11,18248.11,18368.43,18063.29,18174.09
14-Mar-11,18167.1,18463.84,18155.43,18439.48
15-Mar-11,18113.79,18326.33,17920.55,18167.64
16-Mar-11,18263.68,18444.47,18263.68,18358.69
17-Mar-11,18227.16,18354.27,18104.02,18149.87
18-Mar-11,18251.18,18259.61,17849.53,17878.81
21-Mar-11,17984.72,18007.73,17792.17,17839.05
22-Mar-11,17929.09,18041.38,17878.8,17988.3
23-Mar-11,17972.04,18218.28,17950.17,18206.16
24-Mar-11,18286.42,18373.97,18269.32,18350.74
25-Mar-11,18480.69,18858.3,18480.69,18815.64
